"","Location","TMAX","TMIN","TAVG","AWND","AWDR","PRCP","SNOW","Date"
"274","Tucson",267,106,"179","25","","0","0","2017-11-29"
"275","Tucson",244,144,"191","20","","0","0","2017-11-30"
"276","Tucson",244,167,"199","22","","0","0","2017-12-01"
"277","Tucson",256,150,"199","22","","0","0","2017-12-02"
"278","Tucson",256,117,"184","30","","0","0","2017-12-03"
"279","Tucson",233,100,"166","25","","0","0","2017-12-04"
"280","Tucson",172,117,"150","20","","5","0","2017-12-05"
"281","Tucson",217,89,"147","24","","0","0","2017-12-06"
"282","Tucson",161,67,"124","26","","0","0","2017-12-07"
"283","Tucson",167,22,"91","10","","0","0","2017-12-08"
"284","Tucson",228,28,"122","53","","0","0","2017-12-09"
"285","El Paso",267,183,"208","36","","0","0","2017-09-30"
"286","El Paso",317,183,"237","39","","0","0","2017-10-01"
"287","El Paso",317,189,"255","39","","0","0","2017-10-02"
"288","El Paso",317,167,"252","34","","0","0","2017-10-03"
"289","El Paso",306,206,"259","48","","0","0","2017-10-04"
"290","El Paso",328,239,"271","41","","0","0","2017-10-05"
"291","El Paso",333,200,"267","45","","0","0","2017-10-06"
"292","El Paso",294,150,"244","36","","0","0","2017-10-07"
"293","El Paso",317,111,"212","48","","0","0","2017-10-08"
"294","El Paso",294,133,"253","61","","0","0","2017-10-09"
"295","El Paso",211,100,"169","41","","0","0","2017-10-10"
"296","El Paso",278,94,"169","20","","0","0","2017-10-11"
"297","El Paso",317,167,"231","13","","0","0","2017-10-12"
"298","El Paso",328,189,"254","18","","0","0","2017-10-13"
"299","El Paso",322,228,"265","38","","0","0","2017-10-14"
"300","El Paso",267,144,"226","39","","0","0","2017-10-15"
"301","El Paso",267,133,"181","15","","0","0","2017-10-16"
"302","El Paso",294,117,"201","13","","0","0","2017-10-17"
"303","El Paso",306,156,"222","18","","0","0","2017-10-18"
"304","El Paso",294,150,"226","38","","8","0","2017-10-19"
"305","El Paso",300,139,"203","44","","0","0","2017-10-20"
"306","El Paso",267,167,"236","47","","0","0","2017-10-21"
"307","El Paso",267,117,"198","33","","0","0","2017-10-22"
"308","El Paso",294,89,"186","17","","0","0","2017-10-23"
"309","El Paso",222,117,"189","42","","0","0","2017-10-24"
"310","El Paso",239,78,"152","16","","0","0","2017-10-25"
"311","El Paso",300,89,"186","55","","0","0","2017-10-26"
"312","El Paso",194,83,"172","48","","0","0","2017-10-27"
"313","El Paso",200,61,"117","15","","0","0","2017-10-28"
"314","El Paso",244,33,"138","22","","0","0","2017-10-29"
"315","El Paso",272,106,"189","41","","0","0","2017-10-30"
"316","El Paso",211,72,"136","30","","5","0","2017-10-31"
"317","El Paso",256,111,"184","55","","0","0","2017-11-01"
"318","El Paso",250,150,"214","46","","0","0","2017-11-02"
"319","El Paso",256,100,"184","39","","0","0","2017-11-03"
"320","El Paso",239,100,"177","33","","0","0","2017-11-04"
"321","El Paso",272,128,"189","40","","0","0","2017-11-05"
"322","El Paso",272,133,"207","33","","0","0","2017-11-06"
"323","El Paso",267,122,"194","26","","0","0","2017-11-07"
"324","El Paso",194,89,"166","29","","71","0","2017-11-08"
"325","El Paso",206,67,"119","13","","0","0","2017-11-09"
"326","El Paso",239,78,"151","15","","0","0","2017-11-10"
"327","El Paso",272,117,"183","30","","0","0","2017-11-11"
"328","El Paso",261,100,"181","30","","0","0","2017-11-12"
"329","El Paso",244,94,"157","15","","0","0","2017-11-13"
"330","El Paso",283,83,"177","23","","0","0","2017-11-14"
"331","El Paso",250,89,"195","27","","0","0","2017-11-15"
"332","El Paso",272,78,"171","22","","0","0","2017-11-16"
"333","El Paso",278,89,"195","50","","0","0","2017-11-17"
"334","El Paso",217,72,"201","51","","0","0","2017-11-18"
